epoch,custom_mean_io_u_3,loss,val_custom_mean_io_u_3,val_loss
0,0.18160735070705414,6.855385780334473,0.17230290174484253,7.7865166664123535
1,0.17072230577468872,7.8629469871521,0.17230290174484253,7.7865166664123535
2,0.17072230577468872,7.862946033477783,0.17230290174484253,7.7865166664123535
3,0.17072230577468872,7.8629469871521,0.17230290174484253,7.7865166664123535
4,0.17072230577468872,7.8629469871521,0.17230290174484253,7.7865166664123535
5,0.17072230577468872,7.8629469871521,0.17230290174484253,7.7865166664123535
6,0.17072230577468872,7.862946033477783,0.17230290174484253,7.7865166664123535
7,0.17072230577468872,7.8629469871521,0.17230290174484253,7.7865166664123535
8,0.17072230577468872,7.862946033477783,0.17230290174484253,7.7865166664123535
9,0.17072230577468872,7.8629469871521,0.17230290174484253,7.7865166664123535
10,0.17072230577468872,7.862946033477783,0.17230290174484253,7.7865166664123535
