epoch,custom_mean_io_u,loss,val_custom_mean_io_u,val_loss
0,0.45356664061546326,1.596134901046753,0.5547686219215393,0.5536708235740662
1,0.6193630695343018,0.4653933048248291,0.6178030967712402,0.3536839783191681
2,0.6882022023200989,0.2896824777126312,0.7071138024330139,0.2373371422290802
3,0.7622630596160889,0.20741502940654755,0.7752830982208252,0.19458329677581787
4,0.7999057769775391,0.17072506248950958,0.7873663902282715,0.1891217827796936
5,0.8050258159637451,0.1729612946510315,0.7956700921058655,0.18044999241828918
6,0.8095262050628662,0.1631954163312912,0.801016092300415,0.16979557275772095
7,0.8188610076904297,0.15587034821510315,0.7899159789085388,0.17298570275306702
8,0.823610246181488,0.14944154024124146,0.804363489151001,0.16308711469173431
9,0.8263184428215027,0.1449892371892929,0.8163768649101257,0.1564435064792633
10,0.8341701626777649,0.14001652598381042,0.8175898194313049,0.15408548712730408
11,0.8330580592155457,0.13866455852985382,0.8242093920707703,0.15249337255954742
12,0.8368670344352722,0.14058345556259155,0.8236958980560303,0.14946244657039642
13,0.8404273986816406,0.1330333799123764,0.8229472041130066,0.15059740841388702
14,0.841642439365387,0.13120239973068237,0.8091421723365784,0.17308777570724487
15,0.8360864520072937,0.1447281688451767,0.8271188139915466,0.1467917114496231
16,0.8437297344207764,0.12920597195625305,0.8272022604942322,0.14435561001300812
17,0.8500568866729736,0.12533313035964966,0.8343150615692139,0.14135459065437317
18,0.8483390808105469,0.12742279469966888,0.8275759220123291,0.143547922372818
19,0.8392521739006042,0.1356579214334488,0.8369836211204529,0.14261513948440552
20,0.8530528545379639,0.12253111600875854,0.8191372752189636,0.1514030247926712
21,0.8498141169548035,0.12783955037593842,0.826178252696991,0.1450856328010559
22,0.8466865420341492,0.1276596635580063,0.827084481716156,0.15584677457809448
23,0.8508796691894531,0.12477000802755356,0.8269880414009094,0.14799630641937256
24,0.8588373064994812,0.11705263704061508,0.8361051082611084,0.1362389624118805
25,0.8569892048835754,0.1175537109375,0.822559654712677,0.1474769562482834
26,0.8516275882720947,0.1248951330780983,0.838963508605957,0.1358945220708847
27,0.8517935872077942,0.120547354221344,0.8252447247505188,0.15281438827514648
28,0.8605571389198303,0.11392506211996078,0.8429587483406067,0.1313367635011673
29,0.8658533692359924,0.11063677817583084,0.8432011008262634,0.12973807752132416
30,0.8659690022468567,0.1093568354845047,0.8426371216773987,0.13530880212783813
31,0.8621344566345215,0.1139092892408371,0.8319336771965027,0.13888990879058838
32,0.8571922779083252,0.11895780265331268,0.8372929692268372,0.13305841386318207
33,0.8653745651245117,0.10993753373622894,0.8485485911369324,0.12454455345869064
34,0.8691604733467102,0.10566480457782745,0.8508760333061218,0.12737484276294708
35,0.8662773966789246,0.11000077426433563,0.8505890965461731,0.12388468533754349
36,0.8688092827796936,0.10643327981233597,0.8521984219551086,0.12452009320259094
37,0.8656688332557678,0.11290646344423294,0.8358197808265686,0.13953258097171783
38,0.8624895215034485,0.11196575313806534,0.8402476906776428,0.13592976331710815
39,0.8653928637504578,0.10908064246177673,0.8542062640190125,0.12477167695760727
40,0.8653457164764404,0.11102837324142456,0.8510202765464783,0.1254727989435196
41,0.8687188029289246,0.10701346397399902,0.8524432182312012,0.12297005951404572
42,0.8733977675437927,0.10252899676561356,0.8471245765686035,0.127120703458786
43,0.8735893368721008,0.10398317128419876,0.855261504650116,0.12509384751319885
44,0.8657312989234924,0.11201443523168564,0.8377571105957031,0.14458659291267395
45,0.8667247891426086,0.1102495864033699,0.8465378880500793,0.12775014340877533
46,0.8607800602912903,0.11608625948429108,0.850354015827179,0.12635335326194763
47,0.8740901947021484,0.1028616651892662,0.8544439673423767,0.12189779430627823
48,0.8768346905708313,0.10088776051998138,0.8583111763000488,0.12033207714557648
49,0.8685500621795654,0.10543452948331833,0.8552327156066895,0.12493208050727844
